assay,panel,n_active,structure_only_AUC,expr_only_AUC,fusion_AUC,dAUC_fusion_minus_struct
NR-AR,NR,28,0.653,0.633,0.726,0.073
NR-AR-LBD,NR,25,0.708,0.613,0.777,0.068
NR-AhR,NR,30,0.648,0.594,0.694,0.046
NR-Aromatase,NR,25,0.647,0.572,0.684,0.037
NR-ER,NR,39,0.603,0.607,0.647,0.044
NR-ER-LBD,NR,23,0.728,0.622,0.773,0.045
NR-PPAR-gamma,NR,12,0.56,0.607,0.645,0.084
SR-ARE,SR,48,0.594,0.582,0.616,0.022
SR-ATAD5,SR,14,0.678,0.583,0.707,0.029
SR-HSE,SR,17,0.5,0.535,0.595,0.096
SR-MMP,SR,34,0.589,0.616,0.655,0.065
SR-p53,SR,32,0.556,0.555,0.642,0.086
MACRO,,,0.622,0.593,0.68,
SR_mean,,,0.583,0.574,0.643,
NR_mean,,,0.65,0.607,0.707,
