assay,n_active,prevalence,structure_only_AUC,structure_only_AUC_ci,structure_only_AUPRC,expr_only_AUC,expr_only_AUC_ci,expr_only_AUPRC,fusion_AUC,fusion_AUC_ci,fusion_AUPRC,dAUC_fusion_minus_struct,dAUC_ci,fusion_wins_frac
NR-AR,28,0.158,0.792,0.011,0.49,0.686,0.016,0.453,0.807,0.012,0.56,0.014,0.008,0.9
NR-AR-LBD,25,0.141,0.798,0.028,0.532,0.738,0.013,0.341,0.833,0.027,0.568,0.035,0.011,1.0
NR-AhR,30,0.169,0.753,0.013,0.576,0.673,0.016,0.378,0.777,0.014,0.571,0.025,0.01,1.0
NR-Aromatase,25,0.141,0.677,0.039,0.416,0.594,0.022,0.348,0.708,0.035,0.496,0.03,0.012,0.9
NR-ER,39,0.22,0.642,0.027,0.424,0.652,0.02,0.506,0.644,0.02,0.483,0.002,0.011,0.6
NR-ER-LBD,23,0.13,0.784,0.021,0.552,0.797,0.015,0.582,0.794,0.026,0.593,0.01,0.012,0.6
NR-PPAR-gamma,12,0.068,0.772,0.034,0.231,0.727,0.03,0.362,0.831,0.026,0.373,0.059,0.021,0.9
SR-ARE,48,0.271,0.644,0.033,0.466,0.611,0.012,0.408,0.64,0.028,0.455,-0.004,0.008,0.4
SR-ATAD5,14,0.079,0.693,0.04,0.25,0.656,0.022,0.145,0.738,0.038,0.317,0.045,0.02,0.9
SR-HSE,17,0.096,0.492,0.029,0.146,0.576,0.03,0.17,0.519,0.03,0.157,0.027,0.012,0.9
SR-MMP,34,0.192,0.553,0.022,0.301,0.737,0.023,0.477,0.655,0.016,0.394,0.101,0.015,1.0
SR-p53,32,0.181,0.571,0.031,0.258,0.704,0.029,0.323,0.645,0.029,0.304,0.075,0.008,1.0
MACRO,327,,0.681,,0.387,0.679,,0.374,0.716,,0.439,0.035,,
